Date;Catégorie d'appareil;Continent;Pays;Utilisateurs;Sessions;Pages vues;Chiffre d'affaires;Transactions;Taux de rebond
20190103;desktop;Europe;Spain;6 220;9 569;11 813;45 742;705;30%
20190103;mobile;Asia;Indonesia;26 166;50 318;59 198;49 807;551;21%
20190103;desktop;Europe;Poland;29 280;52 286;72 619;30 007;925;30%
20190103;mobile;Asia;Japan;29 187;45 605;70 162;33 662;884;75%
20190103;mobile;Europe;Germany;10 474;16 366;18 598;49 099;102;26%
20190103;desktop;Europe;Russia;23 173;26 038;43 396;27 988;135;68%
20190103;mobile;Europe;Italy;52 774;65 153;81 441;39 500;778;54%
20190103;desktop;Europe;Italy;33 710;50 313;58 504;31 578;866;11%
20190103;mobile;Europe;Spain;2 386;4 045;6 741;26 803;740;42%
20190103;tablet;Oceania;Australia;42 279;66 062;71 806;5 635;941;77%
20190103;desktop;Asia;Indonesia;17 365;30 466;32 069;24 465;980;12%
20190103;desktop;Europe;Switzerland;62 679;69 643;79 140;23 372;101;49%
20190103;desktop;Europe;Portugal;20 996;37 492;45 722;21 842;318;31%
20190103;mobile;Oceania;Australia;46 148;75 652;95 762;11 345;93;66%
20190103;mobile;Europe;France;55 060;59 848;66 498;49 348;539;81%
20190103;desktop;Asia;China;10 765;19 574;29 657;42 684;753;71%
20190103;desktop;Europe;Belgium;26 390;28 376;39 966;563;641;85%
20190103;mobile;Europe;Russia;54 156;84 619;97 263;39 657;761;60%
20190103;mobile;Europe;Poland;12 281;18 894;30 973;49 666;330;30%
20190103;mobile;Europe;Sweden;44 532;50 605;61 713;14 629;61;31%
20190103;tablet;Asia;Japan;15 973;19 966;28 121;47 957;207;23%
20190103;desktop;Americas;United States;30 153;55 838;80 925;44 456;807;26%
20190103;mobile;Americas;United States;58 528;70 516;79 231;24 156;944;77%
20190103;desktop;Americas;Canada;44 849;70 077;87 596;22 912;595;70%
20190103;tablet;Americas;United States;39 565;73 269;83 260;43 449;471;72%
20190103;desktop;Americas;Brazil;16 901;31 298;37 708;35 625;329;77%
20190103;mobile;Americas;Canada;11 917;17 787;25 410;3 935;227;14%
20190103;desktop;Americas;Mexico;14 005;23 341;35 909;25 083;91;50%
20190103;mobile;Americas;Mexico;11 416;16 789;24 689;19 877;619;48%
20190103;desktop;Africa;South Africa;34 824;40 028;52 668;27 295;624;82%
20190103;mobile;Americas;Brazil;78 487;87 208;96 898;9 131;631;45%
20190103;desktop;Africa;Morocco;23 189;28 280;31 775;5 474;992;78%
20190103;desktop;Americas;Argentina;4 256;8 185;8 801;13 617;222;83%
20190103;desktop;Americas;Colombia;29 509;33 157;38 111;42 195;841;11%
20190103;mobile;Africa;Morocco;11 862;13 793;20 899;40 156;730;81%
20190103;tablet;Africa;South Africa;27 762;36 054;37 952;39 323;919;29%
20190103;desktop;Africa;Algeria;3 557;6 028;9 569;14 785;373;10%
20190103;mobile;Africa;Nigeria;38 895;42 742;45 470;11 698;548;80%
20190103;mobile;Africa;South Africa;3 342;5 665;7 171;24 661;599;47%
20190103;mobile;Americas;Colombia;47 691;52 990;84 111;30 430;821;69%
20190103;tablet;Americas;Canada;1 611;2 178;2 562;40 638;734;77%
20190104;desktop;Oceania;New Zealand;30 750;53 017;67 970;4 704;761;36%
20190104;tablet;Oceania;Australia;11 239;15 187;23 365;1 654;358;80%
20190104;desktop;Europe;Switzerland;76 723;82 498;97 056;5 952;346;33%
20190104;desktop;Europe;Finland;58 297;75 711;97 065;13 157;849;48%
20190104;desktop;Europe;Portugal;56 319;61 889;81 433;10 682;977;79%
20190104;mobile;Europe;Belgium;43 394;50 458;53 679;14 398;696;40%
20190104;mobile;Europe;Finland;40 351;66 149;93 167;25 231;33;69%
20190104;tablet;Oceania;New Zealand;60 722;77 848;88 464;46 680;593;24%
20190104;tablet;Asia;India;47 104;70 304;77 257;1 586;666;33%
20190104;tablet;Asia;Japan;33 334;48 310;76 682;5 449;476;19%
20190104;tablet;Europe;Germany;1 768;2 762;3 733;4 361;253;37%
20190104;tablet;Europe;France;23 300;39 492;44 373;28 207;888;15%
20190104;tablet;Europe;Italy;60 654;69 718;87 147;25 231;444;59%
20190104;tablet;Europe;Sweden;44 367;51 590;77 000;7 242;83;68%
20190104;desktop;Asia;India;11 984;14 267;16 030;8 251;10;69%
20190104;mobile;Asia;India;40 687;58 124;71 758;25 404;891;36%
20190104;desktop;Europe;United Kingdom;21 847;30 343;31 940;6 271;187;45%
20190104;mobile;Europe;United Kingdom;52;87;116;12 498;334;15%
20190104;desktop;Asia;Japan;21 489;33 576;52 463;2 134;840;71%
20190104;desktop;Europe;Germany;32 468;43 876;46 185;16 093;548;15%
20190104;desktop;Europe;France;32 276;38 886;48 008;28 751;91;38%
20190104;desktop;Oceania;Australia;45 049;50 055;65 006;15 182;174;46%
20190104;desktop;Europe;Poland;39 320;49 772;80 277;17 537;913;27%
20190104;mobile;Europe;Germany;54 831;57 717;71 255;20 038;270;59%
20190104;mobile;Oceania;Australia;66 673;72 471;95 356;10 709;534;70%
20190104;desktop;Europe;Italy;24 062;44 559;69 623;20 710;893;17%
20190104;desktop;Europe;Russia;17 591;18 714;23 992;9 197;489;12%
20190104;mobile;Asia;Indonesia;44 928;62 401;78 988;19 973;493;52%
20190104;mobile;Europe;France;61 351;64 580;80 725;22 722;326;14%
20190104;desktop;Europe;Spain;23 517;45 224;58 733;1 411;683;46%
20190104;desktop;Asia;China;20 491;28 459;35 574;17 477;177;27%
20190104;desktop;Asia;South Korea;19 855;26 832;29 813;36 171;588;40%
20190104;mobile;Europe;Italy;59 327;69 796;91 837;15 499;109;66%
20190104;mobile;Asia;Japan;27 063;33 829;49 028;18 713;594;82%
20190104;mobile;Europe;Russia;50 181;57 024;91 974;42 224;331;59%
20190104;desktop;Asia;Indonesia;12 010;17 158;20 672;31 560;550;19%
20190104;mobile;Oceania;New Zealand;30 764;37 517;41 227;28 442;998;69%
20190104;mobile;Asia;South Korea;4 669;7 530;8 655;20 834;305;67%
20190104;mobile;Europe;Spain;64 701;89 862;95 598;24 693;56;83%
20190104;tablet;Europe;United Kingdom;35 643;54 836;91 393;43 671;513;10%
20190104;desktop;Europe;Sweden;19 439;28 587;35 734;33 459;968;57%
20190104;mobile;Asia;China;17 933;31 461;48 402;35 656;561;22%
20190104;mobile;Europe;Poland;19 622;22 298;34 840;23 394;92;28%
20190104;mobile;Europe;Sweden;35 616;53 158;56 551;31 193;232;41%
20190104;desktop;Americas;United States;52 738;68 491;99 262;35 284;788;84%
20190104;mobile;Americas;United States;46 604;69 558;79 043;2 838;295;31%
20190104;desktop;Americas;Canada;27 867;34 404;39 095;46 069;64;20%
20190104;tablet;Americas;United States;17 941;22 426;32 037;34 178;558;56%
20190104;mobile;Americas;Canada;7 652;11 593;16 802;11 233;371;40%
20190104;desktop;Americas;Brazil;53 839;80 357;96 816;41 701;220;72%
20190104;desktop;Americas;Mexico;4 483;5 152;6 361;20 492;19;16%
20190104;desktop;Africa;Egypt;48 248;61 073;96 941;16 817;659;36%
20190104;desktop;Americas;Colombia;36 693;57 334;84 314;48 648;344;75%
20190104;mobile;Africa;Egypt;67 792;88 042;97 824;48 987;968;75%
20190104;mobile;Americas;Mexico;17 694;28 538;46 784;9 673;57;41%
20190104;desktop;Africa;Kenya;9 285;12 058;16 983;31 157;23;13%
20190104;desktop;Americas;Argentina;32 416;40 521;59 589;31 658;311;68%
20190104;mobile;Africa;Morocco;49 162;59 231;66 552;29 852;583;46%
20190104;mobile;Africa;Nigeria;18 954;31 072;43 156;44 280;250;61%
20190104;mobile;Africa;South Africa;17 106;20 364;24 834;42 553;804;83%
20190104;mobile;Americas;Brazil;30 220;33 209;42 576;31 097;105;14%
20190104;tablet;Africa;Morocco;44 810;74 683;78 614;5 959;521;85%
20190104;tablet;Americas;Brazil;9 232;13 576;20 886;14 784;486;63%
20190104;tablet;Americas;Canada;23 284;39 464;58 036;39 645;177;20%
20190105;desktop;Europe;Sweden;4 080;5 440;8 635;20 396;135;21%
20190105;mobile;Oceania;New Zealand;38 165;43 369;61 083;34 451;645;77%
20190105;mobile;Asia;South Korea;44 742;55 236;70 816;8 845;227;20%
20190105;tablet;Oceania;New Zealand;40 649;64 523;88 387;32 301;486;35%
20190105;tablet;Asia;Japan;26 710;38 710;44 494;46 913;982;58%
20190105;mobile;Europe;Switzerland;71 237;86 874;95 466;36 314;889;14%
20190105;mobile;Europe;Sweden;36 852;68 244;77 550;18 982;842;27%
20190105;tablet;Oceania;Australia;3 785;4 916;5 783;11 831;395;38%
20190105;tablet;Asia;Indonesia;60 714;87 992;93 608;40 246;694;22%
20190105;tablet;Europe;Switzerland;52 249;72 568;94 244;33 376;893;81%
20190105;tablet;Europe;Germany;67 665;72 759;95 735;13 378;231;71%
20190105;tablet;Europe;Spain;38 291;55 494;63 061;44 082;209;30%
20190105;tablet;Europe;Sweden;5 063;9 042;9 619;9 791;220;73%
20190105;desktop;Asia;India;26 435;41 304;51 630;22 953;448;34%
20190105;mobile;Asia;India;48 605;65 682;72 980;18 187;187;44%
20190105;mobile;Europe;United Kingdom;48 672;74 880;88 094;11 226;408;64%
20190105;desktop;Oceania;Australia;42 261;50 310;57 171;18 288;568;48%
20190105;desktop;Europe;United Kingdom;18 485;28 438;44 435;4 071;551;78%
20190105;desktop;Asia;South Korea;11 938;13 119;18 477;37 907;774;80%
20190105;desktop;Europe;Russia;24 474;28 459;31 976;41 509;988;60%
20190105;mobile;Europe;Germany;44 692;74 486;93 108;44 981;506;71%
20190105;desktop;Europe;Germany;39 486;59 827;99 712;48 916;162;23%
20190105;desktop;Asia;Japan;4 046;5 058;6 655;20 898;476;52%
20190105;desktop;Europe;France;48 201;69 856;84 164;6 447;476;15%
20190105;desktop;Europe;Poland;43 615;52 549;62 558;36 637;889;69%
20190105;mobile;Asia;Japan;39 211;45 594;47 994;36 526;562;64%
20190105;desktop;Europe;Spain;38 128;51 524;62 077;1 300;361;31%
20190105;mobile;Asia;Indonesia;35 349;48 424;78 103;12 937;28;29%
20190105;mobile;Europe;Poland;41 887;57 380;66 721;576;737;83%
20190105;desktop;Europe;Portugal;5 805;8 537;11 383;44 777;770;34%
20190105;mobile;Europe;Italy;27 767;44 785;68 900;14 132;262;65%
20190105;desktop;Asia;China;47 718;76 965;95 018;5 424;398;48%
20190105;desktop;Asia;Indonesia;25 319;35 661;48 190;44 707;117;19%
20190105;desktop;Europe;Italy;42 317;63 160;66 484;43 466;495;54%
20190105;mobile;Oceania;Australia;2 608;4 421;6 140;32 493;522;15%
20190105;mobile;Europe;Belgium;44 861;61 454;76 817;12 589;925;20%
20190105;mobile;Europe;France;24 877;40 125;61 730;32 711;179;12%
20190105;tablet;Europe;United Kingdom;13 905;16 753;24 637;16 047;80;13%
20190105;desktop;Europe;Belgium;15 351;22 912;28 286;15 213;382;68%
20190105;desktop;Europe;Switzerland;43 896;47 200;69 412;27 558;56;47%
20190105;mobile;Europe;Spain;3 657;4 064;6 252;42 818;700;30%
20190105;mobile;Europe;Finland;45 973;58 194;67 667;23 975;678;11%
20190105;mobile;Europe;Russia;14 203;16 709;18 566;15 429;175;18%
20190105;desktop;Americas;United States;10 141;16 356;18 800;34 447;985;56%
20190105;mobile;Americas;United States;15 253;19 307;26 091;2 481;576;66%
20190105;tablet;Americas;United States;23 368;34 364;52 067;15 248;747;70%
20190105;desktop;Americas;Canada;28 421;38 407;43 154;22 900;628;23%
20190105;mobile;Americas;Canada;21 728;43 455;52 356;27 896;736;44%
20190105;mobile;Americas;Brazil;9 167;14 550;23 853;24 946;831;60%
20190105;desktop;Americas;Brazil;22 411;26 059;42 720;1 309;461;72%
20190105;tablet;Americas;Canada;25 643;31 272;45 988;48 712;957;31%
20190105;desktop;Americas;Mexico;30 352;41 578;61 144;44 148;596;42%
20190105;mobile;Africa;South Africa;10 934;14 018;15 404;45 351;901;57%
20190105;desktop;Africa;Egypt;51 196;56 884;67 719;29 260;59;52%
20190105;desktop;Americas;Argentina;16 062;24 711;28 081;39 007;251;52%
20190105;desktop;Americas;Colombia;6 141;6 979;8 308;23 488;958;76%
20190105;desktop;Africa;Algeria;50 048;54 998;76 386;41 471;242;34%
20190105;desktop;Africa;Morocco;7 544;13 970;18 382;29 948;902;11%
20190105;desktop;Africa;Nigeria;46 514;87 763;92 382;2 844;367;53%
20190105;desktop;Africa;South Africa;57 246;60 259;78 259;25 551;473;12%
20190105;mobile;Americas;Mexico;45 496;56 870;90 270;30 017;412;42%
20190105;tablet;Americas;Mexico;1 300;1 585;2 439;1 166;756;70%
20190106;mobile;Asia;China;18 430;23 329;25 921;46 391;453;51%
20190106;mobile;Europe;Italy;21 379;27 410;30 455;5 925;347;33%
20190106;mobile;Europe;Sweden;6 377;8 072;10 349;43 008;630;37%
20190106;mobile;Europe;Spain;18 886;23 031;27 418;19 530;298;19%
20190106;mobile;Europe;Poland;18 033;28 176;32 018;17 922;378;72%
20190106;mobile;Europe;Russia;10 315;16 117;18 109;27 733;700;11%
20190106;tablet;Asia;India;28 873;33 187;41 484;27 078;370;42%
20190106;desktop;Oceania;New Zealand;8 022;10 988;13 239;21 875;528;30%
20190106;mobile;Oceania;New Zealand;44 409;61 679;72 563;37 312;364;27%
20190106;mobile;Europe;Belgium;35 315;46 468;52 804;49 840;143;77%
20190106;tablet;Asia;Indonesia;57 163;81 662;96 073;42 902;977;41%
20190106;tablet;Asia;Japan;11 065;17 564;23 110;33 579;193;48%
20190106;tablet;Asia;South Korea;14 818;22 452;27 380;12 187;705;15%
20190106;mobile;Asia;India;61 172;84 962;94 402;48 606;440;77%
20190106;desktop;Asia;India;14 043;22 650;31 458;550;698;41%
20190106;desktop;Asia;South Korea;49 128;60 652;65 217;44 097;272;43%
20190106;desktop;Europe;United Kingdom;59 846;80 874;97 438;3 350;555;14%
20190106;mobile;Asia;South Korea;7 223;13 375;14 382;40 694;172;47%
20190106;mobile;Europe;United Kingdom;61 123;66 438;77 253;13 374;929;12%
20190106;desktop;Oceania;Australia;56 713;70 891;81 484;26 180;262;48%
20190106;desktop;Asia;Japan;46 017;63 912;90 017;30 756;283;18%
20190106;desktop;Europe;France;4 615;6 410;7 284;24 622;346;19%
20190106;desktop;Europe;Germany;18 303;35 888;39 876;16 962;811;28%
20190106;mobile;Asia;Indonesia;85 033;90 460;97 269;22 744;464;69%
20190106;mobile;Europe;Germany;22 405;26 672;29 636;8 647;950;52%
20190106;desktop;Europe;Poland;46 541;56 073;72 822;49 547;715;49%
20190106;mobile;Oceania;Australia;39 871;61 341;97 366;6 164;139;48%
20190106;desktop;Europe;Portugal;2 808;3 086;3 956;26 857;194;66%
20190106;desktop;Europe;Russia;20 810;30 603;43 103;11 061;364;19%
20190106;mobile;Europe;France;24 928;34 622;43 278;3 353;87;56%
20190106;desktop;Europe;Belgium;57 562;73 797;92 246;46 191;660;84%
20190106;desktop;Europe;Italy;74 811;91 233;98 100;28 479;676;71%
20190106;mobile;Asia;Japan;17 527;25 775;38 470;20 128;647;52%
20190106;tablet;Europe;United Kingdom;21 778;29 037;38 207;29 268;549;50%
20190106;desktop;Asia;China;6 364;9 792;11 797;23 934;589;28%
20190106;desktop;Asia;Indonesia;21 028;28 805;38 926;44 442;689;71%
20190106;tablet;Oceania;Australia;29 721;31 285;32 932;1 685;544;65%
20190106;desktop;Europe;Spain;12 100;22 831;35 124;27 220;570;14%
20190106;desktop;Europe;Sweden;17 360;26 707;38 706;26 767;53;46%
20190106;desktop;Americas;United States;34 756;44 558;65 527;16 898;849;55%
20190106;mobile;Americas;United States;10 120;15 813;17 188;19 717;445;43%
20190106;desktop;Americas;Canada;34 246;48 234;59 548;37 007;793;81%
20190106;mobile;Americas;Canada;996;1 556;2 103;26 875;526;21%
20190106;tablet;Americas;United States;34 376;48 417;63 706;30 121;824;70%
20190106;desktop;Americas;Mexico;37 901;49 222;73 466;25 066;691;13%
20190106;desktop;Americas;Brazil;14 284;24 210;27 202;41 969;911;23%
20190106;tablet;Americas;Canada;19 689;21 401;31 942;40 688;263;15%
20190106;desktop;Africa;Egypt;53 943;74 920;97 299;24 886;247;77%
20190106;desktop;Africa;South Africa;28 806;35 129;47 472;17 197;491;75%
20190106;desktop;Americas;Argentina;18 933;24 912;32 779;15 377;598;62%
20190106;desktop;Africa;Morocco;30 647;40 326;57 608;32 711;243;75%
20190106;desktop;Africa;Nigeria;48 982;60 472;88 929;19 047;253;66%
20190106;desktop;Americas;Colombia;60 307;67 008;77 916;16 551;468;24%
20190106;mobile;Africa;Egypt;9 449;18 528;26 468;19 066;205;20%
20190106;mobile;Africa;Morocco;29 932;59 864;86 760;42 769;896;13%
20190106;mobile;Africa;Nigeria;50 897;66 969;70 494;29 458;267;54%
20190106;mobile;Africa;South Africa;32 404;42 083;47 284;10 391;597;41%
20190106;mobile;Americas;Brazil;31 557;39 446;47 525;12 502;496;76%
20190106;mobile;Americas;Mexico;43 871;58 495;62 898;18 365;558;17%
20190107;desktop;Europe;Portugal;23 482;30 496;42 952;2 495;908;25%
20190107;mobile;Europe;France;25 170;42 661;45 384;2 454;456;71%
20190107;mobile;Europe;Poland;32 715;54 525;81 381;33 009;577;27%
20190107;mobile;Europe;Russia;29 472;57 788;86 251;34 011;624;13%
20190107;tablet;Oceania;Australia;4 320;6 856;8 679;13 727;211;75%
20190107;tablet;Europe;United Kingdom;31 096;60 972;84 684;1 315;265;21%
20190107;mobile;Oceania;New Zealand;21 137;37 744;41 026;16 999;534;31%
20190107;mobile;Asia;South Korea;13 816;16 255;27 091;31 343;892;47%
20190107;tablet;Asia;Japan;35 919;70 430;91 467;12 281;880;31%
20190107;tablet;Europe;Germany;8 541;12 378;18 203;32 485;105;16%
20190107;desktop;Oceania;New Zealand;601;858;1 281;22 661;604;15%
